number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
0	46.416	0.0	10.0	400.0	3.0	0.072
1	46.416	0.0	10.0	420.0	3.0	0.073
2	46.416	0.0	10.0	440.0	3.0	0.073
3	46.416	0.0	10.0	460.0	3.0	0.074
4	46.416	0.0	10.0	480.0	3.0	0.074
5	46.416	0.0	10.0	500.0	3.0	0.077
6	46.416	0.0	10.0	520.0	3.0	0.076
7	46.416	0.0	10.0	540.0	3.0	0.076
8	46.416	0.0	10.0	560.0	3.0	0.078
9	46.416	0.0	10.0	580.0	3.0	0.078
10	46.416	0.0	10.0	600.0	3.0	0.079
11	46.416	0.0	10.0	620.0	3.0	0.077
12	46.416	0.0	10.0	640.0	3.0	0.077
13	46.416	0.0	10.0	660.0	3.0	0.077
14	46.416	0.0	10.0	680.0	3.0	0.077
15	46.416	0.0	10.0	700.0	3.0	0.077
16	46.416	0.0	10.0	720.0	3.0	0.077
17	46.416	0.0	10.0	740.0	3.0	0.079
18	46.416	0.0	10.0	760.0	3.0	0.079
19	46.416	0.0	10.0	780.0	3.0	0.079
20	46.416	0.0	10.0	800.0	3.0	0.079
21	46.416	0.5	10.0	400.0	3.0	0.068
22	46.416	0.5	10.0	420.0	3.0	0.069
23	46.416	0.5	10.0	440.0	3.0	0.071
24	46.416	0.5	10.0	460.0	3.0	0.073
25	46.416	0.5	10.0	480.0	3.0	0.073
26	46.416	0.5	10.0	500.0	3.0	0.073
27	46.416	0.5	10.0	520.0	3.0	0.073
28	46.416	0.5	10.0	540.0	3.0	0.072
29	46.416	0.5	10.0	560.0	3.0	0.072
30	46.416	0.5	10.0	580.0	3.0	0.072
31	46.416	0.5	10.0	600.0	3.0	0.075
32	46.416	0.5	10.0	620.0	3.0	0.075
33	46.416	0.5	10.0	640.0	3.0	0.075
34	46.416	0.5	10.0	660.0	3.0	0.075
35	46.416	0.5	10.0	680.0	3.0	0.075
36	46.416	0.5	10.0	700.0	3.0	0.075
37	46.416	0.5	10.0	720.0	3.0	0.075
38	46.416	0.5	10.0	740.0	3.0	0.075
39	46.416	0.5	10.0	760.0	3.0	0.074
40	46.416	0.5	10.0	780.0	3.0	0.074
41	46.416	0.5	10.0	800.0	3.0	0.074
42	46.416	1.0	10.0	400.0	3.0	0.067
43	46.416	1.0	10.0	420.0	3.0	0.068
44	46.416	1.0	10.0	440.0	3.0	0.068
45	46.416	1.0	10.0	460.0	3.0	0.07
46	46.416	1.0	10.0	480.0	3.0	0.07
47	46.416	1.0	10.0	500.0	3.0	0.072
48	46.416	1.0	10.0	520.0	3.0	0.07
49	46.416	1.0	10.0	540.0	3.0	0.072
50	46.416	1.0	10.0	560.0	3.0	0.074
51	46.416	1.0	10.0	580.0	3.0	0.071
52	46.416	1.0	10.0	600.0	3.0	0.071
53	46.416	1.0	10.0	620.0	3.0	0.071
54	46.416	1.0	10.0	640.0	3.0	0.071
55	46.416	1.0	10.0	660.0	3.0	0.07
56	46.416	1.0	10.0	680.0	3.0	0.071
57	46.416	1.0	10.0	700.0	3.0	0.071
58	46.416	1.0	10.0	720.0	3.0	0.07
59	46.416	1.0	10.0	740.0	3.0	0.071
60	46.416	1.0	10.0	760.0	3.0	0.073
61	46.416	1.0	10.0	780.0	3.0	0.074
62	46.416	1.0	10.0	800.0	3.0	0.074
63	46.416	1.5	10.0	400.0	3.0	0.065
64	46.416	1.5	10.0	420.0	3.0	0.065
65	46.416	1.5	10.0	440.0	3.0	0.068
66	46.416	1.5	10.0	460.0	3.0	0.066
67	46.416	1.5	10.0	480.0	3.0	0.066
68	46.416	1.5	10.0	500.0	3.0	0.069
69	46.416	1.5	10.0	520.0	3.0	0.068
70	46.416	1.5	10.0	540.0	3.0	0.069
71	46.416	1.5	10.0	560.0	3.0	0.068
72	46.416	1.5	10.0	580.0	3.0	0.071
73	46.416	1.5	10.0	600.0	3.0	0.071
74	46.416	1.5	10.0	620.0	3.0	0.071
75	46.416	1.5	10.0	640.0	3.0	0.071
76	46.416	1.5	10.0	660.0	3.0	0.071
77	46.416	1.5	10.0	680.0	3.0	0.071
78	46.416	1.5	10.0	700.0	3.0	0.071
79	46.416	1.5	10.0	720.0	3.0	0.071
80	46.416	1.5	10.0	740.0	3.0	0.071
81	46.416	1.5	10.0	760.0	3.0	0.071
82	46.416	1.5	10.0	780.0	3.0	0.071
83	46.416	1.5	10.0	800.0	3.0	0.071
84	46.416	2.0	10.0	400.0	3.0	0.063
85	46.416	2.0	10.0	420.0	3.0	0.063
86	46.416	2.0	10.0	440.0	3.0	0.064
87	46.416	2.0	10.0	460.0	3.0	0.066
88	46.416	2.0	10.0	480.0	3.0	0.067
89	46.416	2.0	10.0	500.0	3.0	0.066
90	46.416	2.0	10.0	520.0	3.0	0.068
91	46.416	2.0	10.0	540.0	3.0	0.068
92	46.416	2.0	10.0	560.0	3.0	0.066
93	46.416	2.0	10.0	580.0	3.0	0.066
94	46.416	2.0	10.0	600.0	3.0	0.068
95	46.416	2.0	10.0	620.0	3.0	0.069
96	46.416	2.0	10.0	640.0	3.0	0.069
97	46.416	2.0	10.0	660.0	3.0	0.069
98	46.416	2.0	10.0	680.0	3.0	0.069
99	46.416	2.0	10.0	700.0	3.0	0.069
100	46.416	2.0	10.0	720.0	3.0	0.069
101	46.416	2.0	10.0	740.0	3.0	0.069
102	46.416	2.0	10.0	760.0	3.0	0.069
103	46.416	2.0	10.0	780.0	3.0	0.069
104	46.416	2.0	10.0	800.0	3.0	0.069
105	46.416	2.5	10.0	400.0	3.0	0.064
106	46.416	2.5	10.0	420.0	3.0	0.061
107	46.416	2.5	10.0	440.0	3.0	0.064
108	46.416	2.5	10.0	460.0	3.0	0.063
109	46.416	2.5	10.0	480.0	3.0	0.064
110	46.416	2.5	10.0	500.0	3.0	0.064
111	46.416	2.5	10.0	520.0	3.0	0.066
112	46.416	2.5	10.0	540.0	3.0	0.066
113	46.416	2.5	10.0	560.0	3.0	0.066
114	46.416	2.5	10.0	580.0	3.0	0.066
115	46.416	2.5	10.0	600.0	3.0	0.066
116	46.416	2.5	10.0	620.0	3.0	0.069
117	46.416	2.5	10.0	640.0	3.0	0.069
118	46.416	2.5	10.0	660.0	3.0	0.069
119	46.416	2.5	10.0	680.0	3.0	0.068
